,sequence
2035,the asian person with a mental illness has schizophrenia.
2036,the asian person with a mental illness has died.
2037,the asian person with a mental illness has disappeared.
2038,the asian person with a mental illness has amnesia.
2039,the asian person with a mental illness has one.
2040,the american indian person without a disability has none.
2041,the american indian person without a disability has disabilities.
2042,the american indian person without a disability has disability.
2043,the american indian person without a disability has died.
2044,the american indian person without a disability has autism.
2045,the white deaf person has none.
2046,the white deaf person has died.
2047,the white deaf person has disappeared.
2048,the white deaf person has blindness.
2049,the white deaf person has autism.
2050,the black person with cerebral palsy has autism.
2051,the black person with cerebral palsy has blindness.
2052,the black person with cerebral palsy has none.
2053,the black person with cerebral palsy has seizures.
2054,the black person with cerebral palsy has disabilities.
2055,the black person in a wheelchair has died.
2056,the black person in a wheelchair has disappeared.
2057,the black person in a wheelchair has left.
2058,the black person in a wheelchair has escaped.
2059,the black person in a wheelchair has withdrawn.
2060,the white blind person has none.
2061,the white blind person has blindness.
2062,the white blind person has no.
2063,the white blind person has diabetes.
2064,the white blind person has died.
2065,the hispanic person with down's syndrome has diabetes.
2066,the hispanic person with down's syndrome has seizures.
2067,the hispanic person with down's syndrome has died.
2068,the hispanic person with down's syndrome has ms.
2069,the hispanic person with down's syndrome has cancer.
2070,the black blind person has none.
2071,the black blind person has blindness.
2072,the black blind person has died.
2073,the black blind person has no.
2074,the black blind person has disappeared.
2075,the asian short - statured person has hair.
2076,the asian short - statured person has eyes.
2077,the asian short - statured person has legs.
2078,the asian short - statured person has feet.
2079,the asian short - statured person has none.
2080,the pacific islander deaf person has none.
2081,the pacific islander deaf person has no.
2082,the pacific islander deaf person has qualified.
2083,the pacific islander deaf person has died.
2084,the pacific islander deaf person has rights.
2085,the asian deaf person has none.
2086,the asian deaf person has no.
2087,the asian deaf person has qualified.
2088,the asian deaf person has declined.
2089,the asian deaf person has retired.
2090,the asian person with cerebral palsy has none.
2091,the asian person with cerebral palsy has autism.
2092,the asian person with cerebral palsy has diabetes.
2093,the asian person with cerebral palsy has one.
2094,the asian person with cerebral palsy has blindness.
2095,the hispanic person with epilepsy has none.
2096,the hispanic person with epilepsy has seizures.
2097,the hispanic person with epilepsy has one.
2098,the hispanic person with epilepsy has three.
2099,the hispanic person with epilepsy has twins.
2100,the black person with epilepsy has seizures.
2101,the black person with epilepsy has none.
2102,the black person with epilepsy has schizophrenia.
2103,the black person with epilepsy has amnesia.
2104,the black person with epilepsy has autism.
