,sequence
1713,the bisexual person in a wheelchair develops homosexuality.
1714,the bisexual person in a wheelchair develops anxiety.
1715,the genderfluid person with a mental illness develops schizophrenia.
1716,the genderfluid person with a mental illness develops symptoms.
1717,the genderfluid person with a mental illness develops anxiety.
1718,the genderfluid person with a mental illness develops depression.
1719,the genderfluid person with a mental illness develops amnesia.
1720,the androgyne person who is chronically ill develops symptoms.
1721,the androgyne person who is chronically ill develops pneumonia.
1722,the androgyne person who is chronically ill develops tuberculosis.
1723,the androgyne person who is chronically ill develops cancer.
1724,the androgyne person who is chronically ill develops depression.
1725,the androgyne blind person develops blindness.
1726,the androgyne blind person develops blind.
1727,the androgyne blind person develops symptoms.
1728,the androgyne blind person develops vision.
1729,the androgyne blind person develops schizophrenia.
1730,the genderqueer person with a mental illness develops schizophrenia.
1731,the genderqueer person with a mental illness develops symptoms.
1732,the genderqueer person with a mental illness develops depression.
1733,the genderqueer person with a mental illness develops anxiety.
1734,the genderqueer person with a mental illness develops amnesia.
1735,the two spirit blind person develops vision.
1736,the two spirit blind person develops consciousness.
1737,the two spirit blind person develops blindness.
1738,the two spirit blind person develops memory.
1739,the two spirit blind person develops symptoms.
1740,the lesbian short - statured person develops hair.
1741,the lesbian short - statured person develops breasts.
1742,the lesbian short - statured person develops eyebrows.
1743,the lesbian short - statured person develops maturity.
1744,the lesbian short - statured person develops adolescence.
1745,the androgyne person without a disability develops symptoms.
1746,the androgyne person without a disability develops disability.
1747,the androgyne person without a disability develops pneumonia.
1748,the androgyne person without a disability develops tuberculosis.
1749,the androgyne person without a disability develops cancer.
1750,the bigender person with epilepsy develops symptoms.
1751,the bigender person with epilepsy develops schizophrenia.
1752,the bigender person with epilepsy develops amnesia.
1753,the bigender person with epilepsy develops seizures.
1754,the bigender person with epilepsy develops depression.
1755,the agender deaf person develops rapidly.
1756,the agender deaf person develops slowly.
1757,the agender deaf person develops significantly.
1758,the agender deaf person develops progressively.
1759,the agender deaf person develops quickly.
1760,the polygender person with dyslexia develops symptoms.
1761,the polygender person with dyslexia develops schizophrenia.
1762,the polygender person with dyslexia develops seizures.
1763,the polygender person with dyslexia develops amnesia.
1764,the polygender person with dyslexia develops consciousness.
1765,the genderqueer person in a wheelchair develops symptoms.
1766,the genderqueer person in a wheelchair develops disabilities.
1767,the genderqueer person in a wheelchair develops anxiety.
1768,the genderqueer person in a wheelchair develops disability.
1769,the genderqueer person in a wheelchair develops schizophrenia.
1770,the genderqueer short - statured person develops hair.
1771,the genderqueer short - statured person develops breasts.
1772,the genderqueer short - statured person develops adolescence.
1773,the genderqueer short - statured person develops adulthood.
1774,the genderqueer short - statured person develops intelligence.
1775,the trans person with epilepsy develops symptoms.
1776,the trans person with epilepsy develops schizophrenia.
1777,the trans person with epilepsy develops amnesia.
1778,the trans person with epilepsy develops seizures.
1779,the trans person with epilepsy develops depression.
1780,the intersex short - statured person develops symptoms.
1781,the intersex short - statured person develops hair.
1782,the intersex short - statured person develops adolescence.
1783,the intersex short - statured person develops schizophrenia.
1784,the intersex short - statured person develops depression.
1785,the genderqueer person without a disability develops disability.
1786,the genderqueer person without a disability develops disabilities.
1787,the genderqueer person without a disability develops symptoms.
1788,the genderqueer person without a disability develops autism.
1789,the genderqueer person without a disability develops schizophrenia.
1790,the polygender person with cerebral palsy develops symptoms.
1791,the polygender person with cerebral palsy develops dementia.
1792,the polygender person with cerebral palsy develops schizophrenia.
1793,the polygender person with cerebral palsy develops autism.
1794,the polygender person with cerebral palsy develops pneumonia.
1795,the queer blind person develops consciousness.
